species,term,estimate,std.error,statistic,p.value,conf.low,conf.high,AIC,nobs,length,length.unit,weight,weight.unit
snabeluer,a,7.731694415740021e-6,7.894222601765158e-8,97.94117553780666,0,7.577240807848409e-6,7.889399915203638e-6,-235987.6354951327,75949,4 - 59,cm,0.001 - 2.53,kg
snabeluer,b,3.1390315719770054,0.0028058896822470885,1118.7295038139637,0,3.133482153340624,3.144576739691161,-235987.6354951327,75949,4 - 59,cm,0.001 - 2.53,kg
vanlig uer,a,5.7943621533026925e-6,6.095016839545692e-8,95.06720499454093,0,5.673349180153632e-6,5.9181578222035454e-6,-65331.03150448805,43328,5 - 81,cm,0.002 - 10.38,kg
vanlig uer,b,3.2370934616612996,0.002700475270830253,1198.7124994727558,0,3.2316655892825827,3.2425118620834517,-65331.03150448805,43328,5 - 81,cm,0.002 - 10.38,kg
uerslekten,a,1.0966140628638442e-5,2.7311351816638045e-7,40.15231725717027,7.02312310322884e-267,1.045952098711183e-5,1.1490818678674062e-5,-16133.299533229352,2274,3 - 53,cm,5e-04 - 2.11,kg
uerslekten,b,3.067189690353048,0.0064392276476580084,476.32881739607484,0,3.0551051618016225,3.0794139096588804,-16133.299533229352,2274,3 - 53,cm,5e-04 - 2.11,kg
